,Py1
983365200000,0.262
983368800000,0.259
983372400000,0.254
983376000000,0.251
983379600000,0.264
983383200000,0.291
983386800000,0.311
983390400000,0.329
983394000000,0.343
983397600000,0.346
983401200000,0.358
983404800000,0.376
983408400000,0.351
983412000000,0.311
983415600000,0.254
983419200000,0.205
983422800000,0.171
983426400000,0.145
983430000000,0.12
983433600000,0.091
983437200000,0.076
983440800000,0.085
983444400000,0.084
983448000000,0.096
983451600000,0.124
983455200000,0.161
983458800000,0.205
983462400000,0.253
983466000000,0.289
983469600000,0.315
983473200000,0.342
983476800000,0.386
983480400000,0.407
983484000000,0.41
983487600000,0.471
983491200000,0.544
983494800000,0.59
983498400000,0.618
983502000000,0.617
983505600000,0.595
983509200000,0.577
983512800000,0.561
983516400000,0.539
983520000000,0.442
983523600000,0.337
983527200000,0.379
983530800000,0.473
983534400000,0.523
983538000000,0.559
983541600000,0.574
983545200000,0.55
983548800000,0.523
983552400000,0.512
983556000000,0.51
983559600000,0.516
983563200000,0.547
983566800000,0.538
983570400000,0.512
983574000000,0.526
983577600000,0.574
983581200000,0.574
983584800000,0.541
983588400000,0.484
983592000000,0.411
983595600000,0.34
983599200000,0.276
983602800000,0.225
983606400000,0.158
983610000000,0.132
983613600000,0.178
983617200000,0.277
983620800000,0.42
983624400000,0.525
983628000000,0.544
983631600000,0.492
983635200000,0.427
983638800000,0.391
983642400000,0.395
983646000000,0.4
983649600000,0.407
983653200000,0.431
983656800000,0.438
983660400000,0.457
983664000000,0.48
983667600000,0.498
983671200000,0.488
983674800000,0.448
983678400000,0.398
983682000000,0.361
983685600000,0.332
983689200000,0.291
983692800000,0.233
983696400000,0.26
983700000000,0.374
983703600000,0.493
983707200000,0.601
983710800000,0.655
983714400000,0.658
983718000000,0.643
983721600000,0.633
983725200000,0.646
983728800000,0.647
983732400000,0.649
983736000000,0.657
983739600000,0.659
983743200000,0.638
983746800000,0.657
983750400000,0.713
983754000000,0.724
983757600000,0.705
983761200000,0.664
983764800000,0.61
983768400000,0.56
983772000000,0.526
983775600000,0.488
983779200000,0.43
983782800000,0.416
983786400000,0.497
983790000000,0.566
983793600000,0.591
983797200000,0.568
983800800000,0.535
983804400000,0.501
983808000000,0.482
983811600000,0.474
983815200000,0.467
983818800000,0.466
983822400000,0.443
983826000000,0.445
983829600000,0.46
983833200000,0.524
983836800000,0.586
983840400000,0.59
983844000000,0.552
983847600000,0.529
983851200000,0.556
983854800000,0.595
983858400000,0.588
983862000000,0.55
983865600000,0.47
983869200000,0.436
983872800000,0.535
983876400000,0.613
983880000000,0.631
983883600000,0.618
983887200000,0.608
983890800000,0.613
