,V1
666882000000,0.343
666885600000,0.289
666889200000,0.253
666892800000,0.251
666896400000,0.266
666900000000,0.275
666903600000,0.267
666907200000,0.253
666910800000,0.225
666914400000,0.225
666918000000,0.326
666921600000,0.367
666925200000,0.338
666928800000,0.294
666932400000,0.277
666936000000,0.295
666939600000,0.328
666943200000,0.373
666946800000,0.425
666950400000,0.468
666954000000,0.424
666957600000,0.352
666961200000,0.319
666964800000,0.309
666968400000,0.3
666972000000,0.304
666975600000,0.305
666979200000,0.34
666982800000,0.372
666986400000,0.413
666990000000,0.406
666993600000,0.434
666997200000,0.433
667000800000,0.402
667004400000,0.532
667008000000,0.557
667011600000,0.558
667015200000,0.555
667018800000,0.565
667022400000,0.58
667026000000,0.593
667029600000,0.602
667033200000,0.613
667036800000,0.618
667040400000,0.557
667044000000,0.46
667047600000,0.425
667051200000,0.421
667054800000,0.41
667058400000,0.422
667062000000,0.455
667065600000,0.498
667069200000,0.506
667072800000,0.496
667076400000,0.507
667080000000,0.509
667083600000,0.528
667087200000,0.551
667090800000,0.673
667094400000,0.761
667098000000,0.794
667101600000,0.797
667105200000,0.791
667108800000,0.78
667112400000,0.766
667116000000,0.747
667119600000,0.734
667123200000,0.72
667126800000,0.638
667130400000,0.541
667134000000,0.529
667137600000,0.56
667141200000,0.54
667144800000,0.501
667148400000,0.484
667152000000,0.501
667155600000,0.527
667159200000,0.539
667162800000,0.538
667166400000,0.56
667170000000,0.569
667173600000,0.575
667177200000,0.706
667180800000,0.758
667184400000,0.772
667188000000,0.757
667191600000,0.737
667195200000,0.726
667198800000,0.72
667202400000,0.717
667206000000,0.718
667209600000,0.72
667213200000,0.663
667216800000,0.61
667220400000,0.586
667224000000,0.59
667227600000,0.556
667231200000,0.552
667234800000,0.551
667238400000,0.528
667242000000,0.487
667245600000,0.454
667249200000,0.414
667252800000,0.408
667256400000,0.409
667260000000,0.432
667263600000,0.649
667267200000,0.748
667270800000,0.778
667274400000,0.791
667278000000,0.812
667281600000,0.834
667285200000,0.851
667288800000,0.862
667292400000,0.867
667296000000,0.859
667299600000,0.782
667303200000,0.717
667306800000,0.738
667310400000,0.796
667314000000,0.842
667317600000,0.849
667321200000,0.832
667324800000,0.827
667328400000,0.827
667332000000,0.829
667335600000,0.834
667339200000,0.835
667342800000,0.829
667346400000,0.816
667350000000,0.872
667353600000,0.925
667357200000,0.944
667360800000,0.947
667364400000,0.938
667368000000,0.93
667371600000,0.925
667375200000,0.927
667378800000,0.921
667382400000,0.885
667386000000,0.825
667389600000,0.801
667393200000,0.816
667396800000,0.838
667400400000,0.841
667404000000,0.839
667407600000,0.833
667411200000,0.826
667414800000,0.815
667418400000,0.803
667422000000,0.783
667425600000,0.765
667429200000,0.759
667432800000,0.758
667436400000,0.845
667440000000,0.918
667443600000,0.939
667447200000,0.939
667450800000,0.931
667454400000,0.914
667458000000,0.894
667461600000,0.887
667465200000,0.893
667468800000,0.88
667472400000,0.804
667476000000,0.769
667479600000,0.781
667483200000,0.787
667486800000,0.791
667490400000,0.791
667494000000,0.792
667497600000,0.8
667501200000,0.812
667504800000,0.822
667508400000,0.835
667512000000,0.843
667515600000,0.844
667519200000,0.834
667522800000,0.895
667526400000,0.943
667530000000,0.956
667533600000,0.957
667537200000,0.953
667540800000,0.95
667544400000,0.948
667548000000,0.946
667551600000,0.941
667555200000,0.923
667558800000,0.85
667562400000,0.806
667566000000,0.827
667569600000,0.853
667573200000,0.863
667576800000,0.866
667580400000,0.86
667584000000,0.851
667587600000,0.845
667591200000,0.833
667594800000,0.813
667598400000,0.789
667602000000,0.761
667605600000,0.718
667609200000,0.829
667612800000,0.889
667616400000,0.891
667620000000,0.876
667623600000,0.867
667627200000,0.871
667630800000,0.878
667634400000,0.884
667638000000,0.89
667641600000,0.884
667645200000,0.808
667648800000,0.691
667652400000,0.633
667656000000,0.619
667659600000,0.59
667663200000,0.611
667666800000,0.635
667670400000,0.633
667674000000,0.613
667677600000,0.602
667681200000,0.59
667684800000,0.578
667688400000,0.554
667692000000,0.519
667695600000,0.657
667699200000,0.716
667702800000,0.722
667706400000,0.713
667710000000,0.722
667713600000,0.742
667717200000,0.762
667720800000,0.773
667724400000,0.778
667728000000,0.768
667731600000,0.7
667735200000,0.603
667738800000,0.552
667742400000,0.51
667746000000,0.477
667749600000,0.435
667753200000,0.391
667756800000,0.355
667760400000,0.328
667764000000,0.337
667767600000,0.352
667771200000,0.341
667774800000,0.332
667778400000,0.294
667782000000,0.432
667785600000,0.464
667789200000,0.439
667792800000,0.413
667796400000,0.379
667800000000,0.351
667803600000,0.331
667807200000,0.317
667810800000,0.326
667814400000,0.356
667818000000,0.379
667821600000,0.393
667825200000,0.383
667828800000,0.367
667832400000,0.373
667836000000,0.376
667839600000,0.37
667843200000,0.389
667846800000,0.381
667850400000,0.379
667854000000,0.395
667857600000,0.414
667861200000,0.42
667864800000,0.437
667868400000,0.616
667872000000,0.669
667875600000,0.653
667879200000,0.618
667882800000,0.568
667886400000,0.522
667890000000,0.499
667893600000,0.5
667897200000,0.525
667900800000,0.564
667904400000,0.557
667908000000,0.51
667911600000,0.466
667915200000,0.444
667918800000,0.432
667922400000,0.408
667926000000,0.352
667929600000,0.332
667933200000,0.365
667936800000,0.398
667940400000,0.419
667944000000,0.465
667947600000,0.479
667951200000,0.507
667954800000,0.636
667958400000,0.648
667962000000,0.613
667965600000,0.557
