,S1
982044000000,0.525
982047600000,0.338
982051200000,0.144
982054800000,0.0
982058400000,0.0
982062000000,0.0
982065600000,0.0
982069200000,0.0
982072800000,0.0
982076400000,0.0
982080000000,0.0
982083600000,0.0
982087200000,0.0
982090800000,0.0
982094400000,0.0
982098000000,0.0
982101600000,0.096
982105200000,0.277
982108800000,0.451
982112400000,0.621
982116000000,0.713
982119600000,0.741
982123200000,0.725
982126800000,0.65
982130400000,0.515
982134000000,0.344
982137600000,0.139
982141200000,0.0
982144800000,0.0
982148400000,0.0
982152000000,0.0
982155600000,0.0
982159200000,0.0
982162800000,0.0
982166400000,0.0
982170000000,0.0
982173600000,0.0
982177200000,0.0
982180800000,0.0
982184400000,0.0
982188000000,0.085
982191600000,0.27
982195200000,0.429
982198800000,0.549
982202400000,0.589
982206000000,0.624
982209600000,0.58
982213200000,0.498
982216800000,0.385
982220400000,0.245
982224000000,0.101
982227600000,0.0
982231200000,0.0
982234800000,0.0
982238400000,0.0
982242000000,0.0
982245600000,0.0
982249200000,0.0
982252800000,0.0
982256400000,0.0
982260000000,0.0
982263600000,0.0
982267200000,0.0
982270800000,0.0
982274400000,0.043
982278000000,0.167
982281600000,0.309
982285200000,0.447
982288800000,0.591
982292400000,0.614
982296000000,0.587
982299600000,0.527
982303200000,0.406
982306800000,0.263
982310400000,0.104
982314000000,0.0
982317600000,0.0
982321200000,0.0
982324800000,0.0
982328400000,0.0
982332000000,0.0
982335600000,0.0
982339200000,0.0
982342800000,0.0
982346400000,0.0
982350000000,0.0
982353600000,0.0
982357200000,0.0
982360800000,0.051
982364400000,0.208
982368000000,0.363
982371600000,0.501
982375200000,0.584
982378800000,0.604
982382400000,0.598
982386000000,0.508
982389600000,0.402
982393200000,0.23
982396800000,0.071
982400400000,0.0
982404000000,0.0
982407600000,0.0
982411200000,0.0
982414800000,0.0
982418400000,0.0
982422000000,0.0
982425600000,0.0
982429200000,0.0
982432800000,0.0
982436400000,0.0
982440000000,0.0
982443600000,0.0
982447200000,0.004
982450800000,0.043
982454400000,0.098
982458000000,0.131
982461600000,0.177
982465200000,0.186
982468800000,0.156
982472400000,0.147
982476000000,0.11
982479600000,0.064
982483200000,0.015
982486800000,0.0
982490400000,0.0
982494000000,0.0
982497600000,0.0
982501200000,0.0
982504800000,0.0
982508400000,0.0
982512000000,0.0
982515600000,0.0
982519200000,0.0
982522800000,0.0
982526400000,0.0
982530000000,0.0
982533600000,0.026
982537200000,0.12
982540800000,0.227
982544400000,0.347
982548000000,0.454
982551600000,0.489
982555200000,0.488
982558800000,0.426
982562400000,0.323
982566000000,0.181
982569600000,0.06
982573200000,0.0
982576800000,0.0
982580400000,0.0
982584000000,0.0
982587600000,0.0
982591200000,0.0
982594800000,0.0
982598400000,0.0
982602000000,0.0
982605600000,0.0
982609200000,0.0
982612800000,0.0
982616400000,0.0
982620000000,0.044
982623600000,0.195
982627200000,0.367
982630800000,0.479
982634400000,0.509
982638000000,0.506
982641600000,0.484
982645200000,0.437
982648800000,0.34
982652400000,0.196
982656000000,0.068
982659600000,0.0
982663200000,0.0
982666800000,0.0
982670400000,0.0
982674000000,0.0
982677600000,0.0
982681200000,0.0
982684800000,0.0
982688400000,0.0
982692000000,0.0
982695600000,0.0
982699200000,0.0
982702800000,0.0
982706400000,0.056
982710000000,0.209
982713600000,0.35
982717200000,0.463
982720800000,0.55
982724400000,0.552
982728000000,0.523
982731600000,0.461
982735200000,0.383
982738800000,0.265
982742400000,0.103
982746000000,0.0
982749600000,0.0
982753200000,0.0
982756800000,0.0
982760400000,0.0
982764000000,0.0
982767600000,0.0
982771200000,0.0
982774800000,0.0
982778400000,0.0
982782000000,0.0
982785600000,0.0
982789200000,0.0
982792800000,0.047
982796400000,0.2
982800000000,0.362
982803600000,0.484
982807200000,0.529
982810800000,0.509
982814400000,0.469
982818000000,0.397
982821600000,0.312
982825200000,0.191
982828800000,0.076
982832400000,0.0
982836000000,0.0
982839600000,0.0
982843200000,0.0
982846800000,0.0
982850400000,0.0
982854000000,0.0
982857600000,0.0
982861200000,0.0
982864800000,0.0
982868400000,0.0
982872000000,0.0
982875600000,0.0
982879200000,0.089
982882800000,0.287
982886400000,0.475
982890000000,0.605
982893600000,0.669
982897200000,0.67
982900800000,0.659
982904400000,0.575
982908000000,0.446
982911600000,0.269
982915200000,0.099
982918800000,0.0
982922400000,0.0
982926000000,0.0
982929600000,0.0
982933200000,0.0
982936800000,0.0
